left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,11.378,-0.271,0.0
0.0,0.0,-0.271,170.58800000000002
0.0,8.152,-0.344,12.281
0.0,0.0,-0.271,188.96
1.817,0.0,-0.41,320.439
1.152,0.192,-0.41,566.2660000000001
0.0,58.96,-0.41,0.0
0.0,438.843,-0.41,39.282
4.558,57.90599999999999,-0.1,1311.7810000000004
86.172,670.358,-0.19,76.008
16.243,31.558,-0.19,2782.887
0.738,0.0,-0.271,2122.338
0.0,3449.861000000001,-0.19,976.556
120.714,407.204,-0.522,5838.4029999999975
439.976,37.475,-0.344,3488.76
0.0,235.096,-0.5700000000000001,2694.7290000000003
0.0,41.5,-0.5700000000000001,2079.95
0.0,0.244,-0.1,568.059
0.0,-0.41,-0.344,290.759
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,58.775,0.0,0.191
0.984,564.4259999999999,0.0,9.048
10.074,259.111,0.0,1067.387
85.07,68.393,0.743,1169.695
0.0,161.813,16.828,1182.322
0.0,88.401,96.598,1686.5110000000002
150.27200000000002,115.383,1.199,1229.805
75.386,1322.4559999999997,36.268,0.0
113.972,257.226,226.104,2465.621
317.07,2077.222,0.0,12.817
245.351,4534.075999999999,162.412,733.307
432.935,5703.457000000001,200.262,1826.537
1942.299,6526.948999999999,457.786,1651.761
3448.987,1416.5659999999998,1124.107,7289.773999999992
6559.570999999999,2019.696,745.932,114.403
5892.534,1932.574,698.829,908.337
5169.508,869.527,451.565,825.741
3934.344,180.738,14.242,448.669
1256.626,-0.6870000000000002,31.661,144.558
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,0.0,0.037,17.650000000000002
0.0,471.883,0.228,0.01
0.332,1589.161,42.664,129.554
0.0,1836.298,107.045,92.749
188.061,2053.4600000000005,170.607,277.062
473.48,2285.6319999999987,306.469,427.118
433.663,216.484,341.833,2541.092999999998
362.562,1.267,88.295,2002.674
252.206,0.965,391.632,3034.463
0.0,2050.924,300.577,6.875
222.349,5444.283999999999,0.0,0.0
357.981,6471.260999999999,219.84,884.367
558.803,7282.908,979.059,1050.624
1177.9029999999998,2887.8450000000003,1623.819,8099.919999999999
703.332,202.62,5550.820999999998,49.924
1113.113,0.0,4375.739,1431.9589999999998
516.4459999999999,335.73,2650.918,1107.082
0.0,64.084,2085.657,1051.362
27.21,-0.1,11.743,1054.465
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,80.43299999999999,0.0,4.822
7.239,326.445,0.0,74.676
24.802,106.043,1009.756,283.647
47.367,864.538,420.615,0.0
100.638,403.864,490.2240000000001,1887.396
126.134,659.2,0.0,2284.3830000000003
544.7679999999999,1100.156,907.451,2824.025999999999
501.883,1136.146,376.194,3071.131999999999
1062.512,550.3299999999999,775.1270000000001,3471.882
0.0,51.063,181.101,3640.613
0.0,0.0,3026.249,0.0
197.474,5576.534999999999,573.093,662.64
387.288,7907.528000000002,1307.197,1317.167
2313.812,2339.939,724.175,8999.94700000001
0.0,5640.210000000001,730.9259999999999,0.0
531.357,1210.519,1554.504,7132.512
1379.737,257.778,154.171,5078.010000000001
861.404,0.0,348.222,5284.938
3067.7230000000004,-0.41,1.214,205.504
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,252.981,0.0,0.812
0.003,1265.281,0.0,0.0
1.069,1979.498,196.11900000000003,45.559
202.182,2271.1780000000003,52.588,82.281
295.594,2538.4589999999994,568.215,334.763
502.881,2823.791000000001,235.411,159.165
654.5419999999999,3138.0219999999995,1218.9139999999998,1217.193
360.873,2701.344,1693.333,3486.728
1002.907,814.932,1881.418,3873.5120000000006
0.0,6284.765999999998,0.032,1011.051
552.74,7288.023999999999,196.727,2016.146
1591.9009999999998,8099.932000000003,2092.2,1458.913
1339.2330000000002,8999.951000000032,3788.186,3770.663000000001
9999.95100000006,9999.95100000002,9999.951000000065,9999.950999999994
8999.951000000005,3268.243,1995.624,1681.8539999999998
8099.876000000002,3966.637,4100.631,3833.865
7285.71,3101.5889999999995,776.042,397.525
6490.768999999999,637.001,1151.176,819.139
1812.313,-0.6520000000000001,509.4690000000001,17.879
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,108.588,0.073,0.0
0.0,652.8320000000001,0.239,0.089
0.0,0.0,1346.5579999999998,25.229
0.0,270.446,1027.073,0.0
82.28,89.518,0.0,1974.429
146.11999999999998,1998.707,0.068,0.0
185.401,645.304,758.898,3395.866
1536.41,3874.1570000000015,1041.785,3393.279
1602.3359999999998,3414.8409999999994,2720.363,4304.624000000005
1244.513,3239.616,2520.437,4694.298
1382.7019999999998,651.809,6476.317000000002,2169.948
657.424,685.102,7288.704999999999,1585.025
6487.107999999999,8099.95100000005,8099.858999999996,1246.7779999999998
2985.004,7289.268999999999,8999.951000000103,7236.077
1482.971,2826.483,8099.89,948.294
1375.495,513.325,7151.008000000003,2305.573
3654.126,1165.766,2512.263,1190.754
12.035,0.001,4303.8910000000005,587.047
0.0,-0.469,0.0,322.19
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,2.959,5.98,8.607
0.0,81.49199999999999,25.355,3.357
1.789,665.656,49.612,1.904
14.982,1857.377,0.0,65.16
63.141,3018.804000000001,177.699,0.0
435.726,3469.5260000000003,89.107,28.495
884.5329999999999,3873.9120000000007,761.263,1654.528
2084.7139999999995,4304.624000000012,2609.1210000000005,1959.912
2472.677,4782.920000000018,3000.1960000000004,3518.367999999999
2337.028,5314.361000000021,3515.583,3818.320999999999
3947.024,5904.851000000032,5205.0160000000005,4055.663
5030.428000000001,6560.951000000033,6219.701000000001,5145.967000000001
5879.962000000001,7255.805000000003,7289.951000000058,5726.280000000002
6559.113,6121.977999999999,8099.950999999996,5129.169
7289.951000000007,4630.906999999999,6843.886000000002,3149.058
6269.512999999999,1678.2979999999998,3672.2040000000006,2739.95
4605.243,640.8810000000001,1117.866,1653.727
2658.8519999999994,271.794,745.3679999999999,228.222
1029.778,-0.7180000000000002,0.298,231.06
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,120.587,0.0,0.0
0.0,60.847,4.891,491.376
0.0,96.491,11.386,705.9929999999999
0.0,1029.177,0.0,0.0
0.0,707.414,83.333,1924.294
235.358,309.911,573.811,2216.3160000000003
1010.203,3486.708999999998,2751.554,281.902
746.704,2825.576,3874.155000000001,1117.664
2053.7759999999994,2466.726,4229.02,2403.596
2390.884,2475.725,4752.203,2924.7380000000003
3724.245,5314.361000000003,5088.711999999999,3788.665
4757.856999999997,5904.851000000052,5894.021999999998,3227.148
4045.388,5308.94,6560.9510000000455,5255.482
5904.767000000002,5745.271000000001,5738.428000000001,4416.575
4405.9220000000005,1241.644,6560.930000000009,3236.4720000000007
5903.738999999996,1465.634,2591.691,661.2080000000001
