left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,2.765,-0.19,266.885
0.0,1516.3190000000002,-0.1,253.647
0.0,0.0,-0.271,3871.602
0.0,86.31899999999999,-0.1,1100.44
0.0,1.247,-0.1,1134.846
71.46,0.0,-0.41,1298.658
1.247,0.001,-0.19,1283.636
0.014,97.084,-0.1,0.0
0.0,0.534,-0.19,560.231
47.053,1.524,-0.271,176.09799999999998
10.566,0.0,-0.41,231.395
0.0,0.0,-0.271,567.5
31.149,0.0,-0.6130000000000001,364.365
0.0,139.31,-0.522,0.0
7.841,4.495,-0.522,500.8099999999999
0.0,11.728,-0.19,118.765
0.0,0.0,-0.1,225.229
0.0,1.075,-0.5700000000000001,58.488
0.0,-0.522,-0.41,32.834
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,2189.9259999999995,4.223,0.0
42.154,4657.0,47.408,261.164
147.94400000000002,396.999,258.941,6391.65
635.669,17.424,49.324,4541.410999999999
0.239,369.649,0.311,4337.594
259.779,500.761,278.053,4592.453
310.407,354.527,4.463,4000.363
510.163,0.0,1.891,2639.636
178.837,32.25,25.168,1443.499
0.0,132.57,10.47,935.37
0.414,1013.826,20.829,103.683
157.618,1479.388,0.0,322.11
375.522,173.046,95.762,1788.3829999999998
557.706,355.553,12.908,306.822
79.95400000000001,41.691,96.665,1169.37
512.8860000000001,94.106,0.0,36.467
48.456,0.311,0.0,809.917
384.633,22.132,0.806,33.868
113.03100000000002,-0.7180000000000002,0.131,15.779
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,454.446,0.0
0.002,3661.747,0.0,700.637
199.366,0.0,277.206,7274.464000000004
183.946,718.3489999999999,749.563,7468.960999999999
1073.791,1526.739,17.424,6919.23
1762.689,749.698,1418.9619999999998,6560.227000000004
5894.478000000003,1547.7530000000002,687.626,917.026
5139.347000000001,1241.784,527.409,601.7139999999999
3116.376,646.466,245.504,887.7779999999999
91.61,87.157,126.297,2465.757
0.01,17.809,268.563,1434.794
112.821,1489.3280000000002,175.67399999999998,0.722
372.215,52.007000000000005,959.475,2052.769
1307.7809999999995,6.640000000000001,38.553,280.498
86.71300000000001,31.529,220.868,1559.356
138.6,509.198,8.725,0.0
42.055,120.647,75.11399999999999,1187.5970000000004
423.713,23.638,0.161,302.041
0.0,-0.522,2.458,182.25
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,1533.329,0.0,0.0
5.006,6228.109,13.432,702.114
815.182,8099.538,600.801,3335.159
987.347,3598.203,2795.152,8999.948
8092.042000000003,3971.449000000001,1767.658,2735.588
1746.078,2363.137,3313.074,7289.899000000002
3934.225,1166.709,3478.11,5675.567000000002
807.0070000000001,399.301,3626.826,457.596
663.1949999999999,2378.724,0.0,774.338
732.6270000000001,185.33,534.625,3123.805
697.831,226.894,409.251,2532.9189999999994
230.429,164.751,346.65099999999995,2361.692
1590.3409999999997,569.257,1323.084,2287.5729999999976
2058.686999999999,664.91,400.201,609.283
1851.5979999999995,698.3629999999999,523.528,230.138
1657.6299999999997,464.4500000000001,91.999,69.384
1467.6300000000006,390.94200000000006,277.199,51.392
1247.8640000000005,184.768,74.914,155.83800000000002
627.844,-0.7460000000000002,0.02,55.379
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,4392.819,0.0,0.0
0.0,7954.529999999999,1.24,51.525
6.835,8998.437,2326.644,0.0
9999.95100000005,9999.951000000014,9999.951000000054,9999.951000000025
8999.951000000045,4928.847,6763.289999999999,6002.429
8099.951000000013,4398.628,5378.973999999999,5774.9800000000005
7289.95100000001,3330.514,4163.796999999999,1996.916
5232.054999999999,2342.664,752.793,2026.2670000000005
1048.943,1822.427,630.778,3838.689
2963.216,762.173,1548.4160000000002,3486.73
3138.045000000004,1095.063,1159.369,1627.748
2824.2280000000023,1604.758,634.0889999999999,916.268
2541.788000000001,1215.9099999999996,1469.392,1441.9059999999995
772.929,0.002,1800.65,126.114
281.11,85.522,646.251,0.0
48.893,4.672,121.921,610.116
0.0,327.46,0.0,7.475
0.024,44.518,978.835,44.222
409.12,-0.5700000000000001,51.281,4.372
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,649.378,186.61,3864.324
1643.117,7286.5459999999985,5130.19,3806.936
6405.894999999998,8099.7820000000065,7509.091000000001,5084.257
7285.650999999995,5257.080000000001,8999.951000000148,7261.676999999997
8099.951000000075,6438.092999999997,8099.851999999999,4551.539
7265.438,5800.918999999998,5663.181,5061.117000000001
4509.326,3704.205,6560.95100000001,2428.811
3033.032,1959.33,2174.389,4757.813
3443.158000000001,936.661,2290.3629999999994,4304.624000000009
3874.157000000007,1384.479,0.0,3470.078999999999
2808.191,723.915,1075.49,1567.303
82.06899999999999,1944.1539999999995,0.0,97.574
39.966,362.75,2278.1709999999985,746.7270000000001
143.83399999999995,2.074,1181.631,100.151
0.0,82.467,8.453,136.149
0.007,25.416,47.656,1160.448
323.188,16.653,29.128,12.919
17.076999999999998,4.847,436.59,11.236
35.57,-0.344,73.364,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,5779.330000000001,0.004,53.211
1687.338,3094.831,6540.615000000002,930.124
2259.213,1962.989,7102.465999999999,3939.233
4609.617,5357.570999999999,8099.95100000001,6140.611
7248.210999999998,5882.998000000005,7289.951000000066,3322.923
6560.852,4989.009999999999,5211.168,4698.085999999999
5867.958000000001,3036.3319999999994,5904.851000000015,4779.302000000005
5314.361000000012,2787.143,3394.657,3341.9890000000005
4782.920000000012,3263.332,2051.8340000000003,2962.5970000000007
4302.733999999998,2061.914,1713.377,1563.598
3599.9559999999983,562.8720000000001,681.5160000000001,1275.966
1415.471,940.142,594.032,518.884
24.62,203.17200000000005,1846.368,508.982
273.036,240.955,166.829,1189.855
101.2,942.784,13.165,119.312
146.165,40.09,220.55900000000003,1482.3690000000004
120.896,0.042,36.989,512.239
0.0,0.004,36.643,266.568
0.042,-0.522,0.0,18.472
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,445.872,4248.236,0.0
910.507,4526.329,386.291,484.386
1609.265,6476.919999999998,635.268,741.8699999999999
3646.111000000001,3814.446,7289.905999999997,4169.643
6559.988999999997,3399.675,6560.951000000046,5291.222000000001
5904.851000000048,3744.907,5864.209000000003,4744.647999999999
5314.361000000048,4202.312000000001,5309.887999999998,3974.026
4760.354,3078.6279999999992,3660.429,3358.0019999999995
1749.403,1747.706,2995.866,3486.101000000003
682.389,519.848,3657.1979999999976,2379.2920000000004
1003.23,740.6089999999999,1873.192,2803.2710000000006
2222.803000000001,849.7890000000001,296.685,1317.2620000000002
659.6529999999999,741.3199999999999,561.864,2179.8030000000003
655.658,310.207,238.532,1991.911
297.177,1355.531,0.074,0.0
177.374,211.061,448.305,1666.6960000000006
