left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,0.0,-0.19,101.511
0.152,0.0,-0.271,336.801
0.66,57.378,-0.41,0.0
5.164,0.0,-0.1,730.8229999999999
81.082,0.0,-0.344,144.989
0.0,153.62,-0.344,0.0
0.0,34.508,-0.344,841.8820000000001
0.0,0.507,-0.19,477.84600000000006
0.0,1.922,-0.19,13.231000000000002
0.0,122.567,-0.271,0.0
0.0,1203.518,-0.19,0.596
0.007,0.0,-0.344,2760.176
8.067,0.0,-0.522,1579.9939999999997
0.0,28.154,-0.469,2196.29
45.901,53.072,-0.522,1157.166
0.0,0.405,-0.19,2056.572
1.719,47.719,-0.344,1215.386
0.0,0.0,-0.271,1009.909
0.0,-0.271,-0.469,209.589
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,658.7849999999999,0.0,0.0
0.0,7.641,6.103,1351.6820000000002
0.0,233.207,0.0,84.495
0.041,12.571,66.38600000000001,1858.79
0.0,33.56,25.6,1042.873
160.442,820.7280000000001,0.0,12.162
87.901,268.435,0.0,2365.295
200.273,0.0,0.049,1711.3570000000002
0.0,0.571,1.191,798.3559999999999
1.096,0.0,0.899,968.495
0.0,640.668,0.054,704.34
23.183,379.328,398.145,4099.218
407.491,0.0,290.706,4042.872000000001
87.972,770.586,122.409,4761.637
593.694,1161.715,189.843,5188.405
679.453,260.834,1.719,4746.109
645.139,567.362,169.744,3548.5609999999992
422.636,0.0,5.572,3630.735
1722.9080000000004,-0.469,18.154,71.48
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,527.124,0.328,0.0
2.02,130.70100000000002,0.0,1841.204
41.515,1432.566,0.0,162.118
5.632,210.128,249.811,2527.0620000000004
1898.773,282.04200000000003,182.532,302.56100000000004
104.916,248.859,13.781,1871.297
210.795,337.641,490.187,3326.990999999999
439.763,166.38299999999998,146.23999999999998,3121.1219999999994
0.006,2341.88,21.674,82.085
0.0,360.564,13.097,3593.2870000000007
171.075,3004.882,121.775,994.617
1010.786,4766.891,705.7760000000001,267.79200000000003
1954.928,5312.403000000001,887.8789999999999,811.4490000000001
2655.6280000000006,5904.596,1286.681,2200.244
3684.646,3943.068,2233.594,6560.929999999999
5904.540999999998,2767.057,827.577,2144.379
5288.546999999998,1828.281,780.4999999999999,1877.824
4533.764999999999,128.753,345.288,534.1320000000001
0.0,-0.271,602.0600000000001,343.541
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,1025.464,44.584,19.773
174.35500000000002,2220.894,0.0,24.251
265.879,2530.7259999999983,78.944,238.376
432.411,564.4269999999999,543.291,2823.140000000001
4.228,425.592,529.181,2614.536
317.697,1419.3549999999998,269.47400000000005,3294.605
780.7779999999999,719.827,1276.435,3861.0770000000007
1200.207,219.044,697.34,4160.771000000001
373.055,3151.298,200.676,411.119
592.434,687.293,355.541,4272.645000000004
475.164,601.727,578.277,4547.632999999999
222.332,736.688,3238.0349999999994,164.096
256.55,865.019,0.035,5155.259
493.959,449.278,34.459,7620.369999999997
4957.807,3275.125,4910.0070000000005,7289.9479999999985
1735.395,1152.931,5140.532999999999,2469.842
919.885,145.779,1100.296,5537.367
2239.994,186.447,574.716,538.298
78.686,-0.5700000000000001,6.077,1902.096
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41,0.0,214.74500000000003,4.376
0.0,1303.752,131.237,69.731
66.293,2507.268000000001,0.0,0.0
305.61800000000005,3137.755,677.5799999999999,1830.7499999999995
883.5269999999999,3486.647,937.787,1317.3270000000002
1731.291,3874.1430000000046,1322.963,847.2180000000001
625.451,3779.9740000000006,2253.165,4304.6200000000135
1029.993,2710.364,1611.2669999999998,4780.535000000001
2026.42,2240.0150000000003,1576.237,5313.837
4777.923000000002,4110.399,1540.99,3991.608
1426.5839999999998,1914.892,1975.676,6556.690999999998
5681.501999999998,3159.692,473.181,1374.384
1949.167,8088.744,494.876,809.98
2587.134,2914.0660000000003,718.298,8999.909
7328.062999999999,5578.207999999999,6422.593,8099.951000000001
5309.660000000001,2345.387,2105.538,7207.195
1707.2089999999998,1124.065,1947.893,6558.281000000002
5630.422,1125.953,0.037,2055.22
4160.679,-0.6130000000000001,11.707,342.578
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,0.0,2.582,212.867
0.0,876.806,77.779,0.138
79.515,2112.1380000000004,0.0,0.11
213.907,2823.536,534.318,418.976
252.693,3137.7990000000013,829.7729999999999,702.985
282.345,2934.983,3486.6410000000005,205.496
2003.449,4782.920000000007,114.188,2577.9250000000006
2389.972,5314.361000000006,3372.883,2049.001
2784.905,5904.851000000012,4208.691999999999,2285.597
3350.32,6560.951000000003,3035.617,3907.07
4311.849,7289.95100000001,4778.998,5526.19
5153.827000000001,8099.951000000043,4370.899,5544.189
3983.6130000000007,8999.95100000003,6796.406999999999,6836.661000000001
9999.951000000074,9999.951,9999.951000000045,9999.951000000028
8999.951000000125,7260.852000000001,7287.651999999998,6089.831
8099.95100000001,6133.795000000001,5331.726,5418.968000000001
7289.924000000002,4640.8150000000005,3638.6,2936.388
6471.903,1229.8059999999998,2177.941,1631.5959999999998
2686.972,-0.7710000000000002,1301.277,63.715
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,916.664,1.572,11.515
82.5,1670.9329999999998,35.422,17.435
257.464,2261.0640000000003,353.307,0.0
0.0,849.8420000000001,2537.8260000000023,148.68399999999997
266.417,83.757,2600.543,139.77499999999998
0.0,0.0,0.0,1740.551
337.165,1127.331,3518.715000000001,2194.557
764.87,642.4279999999999,4426.996999999999,1739.313
623.9549999999999,1440.1609999999998,991.417,4040.54
1127.624,5904.811999999996,4566.867999999999,478.271
2280.903,6560.951000000003,3879.887,1763.447
2626.008,6808.798999999999,7289.951000000005,2537.712
5206.709,4123.164000000001,8099.951000000003,4849.846
4414.003,5054.146999999999,8794.426999999996,1843.781
6370.216000000001,5999.930000000001,8099.951000000066,5018.440999999999
7187.26,5088.439,4771.009999999999,3152.37
629.594,1265.5929999999998,6460.8539999999975,1451.073
811.8199999999999,62.68,5113.674000000002,593.755
960.997,-0.5700000000000001,407.968,9.642
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,0.0,127.945,0.0
3.199,0.085,226.907,3.453
4.444,160.215,1890.4440000000004,0.0
262.653,15.584,1143.811,0.684
78.952,93.468,1235.409,0.004
8.197,3025.077000000001,0.0,0.0
15.865,3849.879,239.675,162.822
93.125,4301.346,1272.737,295.203
896.943,4782.397000000001,931.676,146.94299999999998
1098.392,3530.386,5314.203999999997,1111.744
1381.955,480.051,5898.064999999998,468.609
659.576,1684.652,6148.175999999999,1392.166
2726.824,2105.048,7289.951000000005,1933.112
5366.726,6373.658,2551.059,3061.176
5290.94,4406.571999999999,7289.9510000000755,3317.465
