left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,0.0,-0.41000000000000003,0.0
0.0,0.024,-0.34400000000000003,0.0
0.0,0.159,-0.41000000000000003,0.813
0.0,0.0,-0.34400000000000003,7.914
0.084,0.0,-0.522,0.062
0.0,0.121,-0.46900000000000003,64.157
0.0,0.0,-0.46900000000000003,12.87
0.0,0.0,-0.271,0.035
0.0,0.04,-0.271,0.0
0.0,1.169,-0.34400000000000003,0.0
0.0,0.0,-0.19,11.564999999999998
0.0,0.027999999999999997,-0.271,0.0
0.0,0.0,-0.1,4.784
0.0,0.0,-0.1,8.384
0.0,0.473,-0.271,51.599000000000004
0.0,39.668,-0.19,0.0
0.0,16.368,-0.19,415.422
0.0,0.025,-0.34400000000000003,153.286
0.278,-0.271,-0.271,11.182
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.34400000000000003,0.0,0.0,0.0
0.0,0.202,0.0,0.0
0.0,13.585,0.0,0.0
0.0,86.50199999999998,0.0,0.0
0.0,244.593,0.006,0.0
0.0,22.755,11.837,474.01
0.0,0.042,0.0,250.74399999999997
0.0,1.078,0.0,0.0
0.007,0.0,0.0,12.519
0.074,0.0,0.0,0.0
0.0,0.001,0.04,80.835
0.0,0.0,0.0,1.5579999999999998
0.0,49.95,0.0,0.0
0.0,13.366,0.0,251.313
0.0,0.0,0.625,470.96500000000003
0.0,62.314,0.0,106.511
5.608,89.582,0.0,2544.4430000000007
1236.709,20.408,8.443,37.852000000000004
264.938,-0.34400000000000003,0.001,1.7329999999999999
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,0.002,0.0,0.0
0.0,0.231,0.0,0.0
0.0,0.0,0.0,6.673
0.0,0.0,0.0,0.359
0.0,43.16,0.0,5.018
0.0,816.0110000000002,0.0,181.943
0.0,0.0,0.0,1243.5270000000003
17.195999999999998,0.462,0.013,0.029
0.046,0.0,0.0,90.66399999999999
0.0,4.635,0.0,0.0
0.0,2.1710000000000003,0.684,295.242
3.923,38.341,0.0,0.0
0.0,1.345,0.454,251.058
0.012,938.703,0.0,44.951
0.326,81.93299999999999,21.386,2246.201
0.0,1407.4769999999999,0.672,56.142
67.47,108.43299999999999,178.274,3855.7829999999994
578.514,2.367,128.91899999999998,0.0
0.287,-0.271,34.541000000000004,0.265
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.34400000000000003,0.0,0.0,0.05
0.0,0.0,0.0,1.157
0.003,0.0,0.0,38.62199999999999
0.0,10.901,0.0,8.757000000000001
0.0,145.80200000000002,0.453,0.0
9.09,810.871,0.0,0.0
44.561,1.221,0.0,1625.6509999999996
0.0,0.004,0.0,27.103
0.0,0.0,0.0,403.90000000000003
0.0,0.0,0.0,17.799000000000003
0.0,0.179,0.0,822.4029999999999
0.0,81.533,0.0,4.946
0.029,0.0,0.0,894.1569999999999
0.0,1028.8020000000001,0.0,2.686
0.004,85.192,116.01400000000001,3454.989
122.302,1262.604,11.362,0.0
96.00800000000001,0.0,361.66499999999996,4828.126999999998
842.375,1.282,0.287,56.127
0.0,-0.34400000000000003,0.0,55.369
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41000000000000003,1.1800000000000002,0.0,0.0
0.0,26.756999999999998,0.0,0.567
0.0,8.870000000000001,0.0,201.08100000000002
0.0,0.346,0.0,279.299
22.664,44.667,0.0,16.807000000000002
8.237,817.6100000000001,0.0,124.603
115.843,17.506,0.028,1929.0889999999997
0.0,254.36400000000003,0.0,0.0
0.0,7.817,0.0,1062.885
0.0,186.617,0.0,353.254
4.388,0.437,0.0,1829.5630000000003
0.0,0.0,0.0,60.154
0.0,1960.2949999999994,0.0,26.931
0.0,3175.5609999999997,60.714,0.001
0.0,4392.079999999999,228.173,127.49900000000001
0.0,2159.589,66.322,5094.355000000004
475.68899999999996,189.728,681.498,5647.662999999999
978.8790000000001,7.5920000000000005,66.11500000000001,134.326
0.0,-0.271,0.265,256.337
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41000000000000003,4.336,0.0,0.0
0.39,76.065,0.03,0.0
7.356,551.315,8.638,0.0
40.791,1027.1609999999998,0.0,0.003
0.0,1480.4910000000004,1.513,0.0
0.0,1862.7880000000007,118.701,118.797
130.63,221.301,0.246,2218.7760000000007
0.0,240.875,10.408,1465.8049999999998
27.833,1783.0020000000002,0.0,127.922
0.0,911.674,17.218,2590.025000000001
8.965,0.0,0.0,2844.4940000000006
0.0,234.98899999999998,0.0,0.092
0.0,718.949,0.0,21.905
0.0,86.357,447.653,2035.9959999999996
299.00800000000004,1763.7620000000002,388.218,1.8539999999999999
352.45,1746.375,189.802,5797.6730000000025
1809.9589999999998,526.1600000000001,1272.6779999999999,6426.7350000000015
0.0,0.0,125.742,3929.9139999999998
560.9680000000001,-0.271,9.6,1191.174
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.006
0.0,2.45,0.0,0.0
0.0,0.0,57.181,5.255
0.001,0.003,15.378,0.0
0.0,0.1,114.357,0.0
0.0,1044.4070000000002,71.34700000000001,0.0
7.353,2493.2729999999992,0.0,542.711
0.0,368.147,177.55700000000002,2787.6850000000004
400.45899999999995,1703.1829999999998,145.647,0.008
144.397,773.778,8.918,3310.683999999999
193.556,10.965,0.0,3615.4789999999994
0.0,524.037,0.0,0.0
0.0,68.133,25.692,1904.854
14.963999999999999,3893.1259999999993,0.0,479.41599999999994
0.0,1315.1259999999997,49.498999999999995,5491.372
829.717,6499.377999999997,1177.04,2732.6380000000004
2932.1809999999996,3529.2640000000006,3327.2400000000007,7251.862999999996
2068.35,784.0989999999999,77.869,7577.735
1970.892,-0.1,334.831,3615.4809999999993
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,0.0,0.0,0.14100000000000001
0.0,3.8310000000000004,0.0,0.0
0.0,79.95499999999998,0.0,0.0
0.0,69.53200000000001,0.0,304.453
0.0,0.001,0.009,704.261
0.0,0.0,119.16499999999999,426.05899999999997
0.0,0.0,220.158,2032.9670000000003
357.005,414.44500000000005,228.571,3109.1739999999986
1116.147,1091.317,164.41699999999997,1588.4070000000002
253.563,846.569,175.45499999999998,3821.800999999999
757.385,242.988,502.376,4209.772000000001
640.348,359.045,61.137,2325.907
37.964,4378.213,80.382,914.448
57.065,5763.016999999998,508.11,542.957
830.441,6521.0790000000015,755.911,2190.061
1244.002,7260.121999999999,1644.181,3627.6040000000003
2477.83,8074.00300000001,4602.495000000001,6924.462
728.495,4791.930999999999,2642.392,8976.774000000003
6550.0160000000005,-0.7710000000000002,1471.41,3500.223
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,0.096,0.0,1.7570000000000001
