left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,0.0,-0.19,8.094
0.0,52.27,-0.19,0.0
0.0,6.053,-0.41,348.93700000000007
45.521,99.555,-0.344,8.291
10.854,585.0790000000001,-0.344,0.0
31.177,1.253,-0.522,1451.965
0.0,0.0,-0.271,376.611
0.0,1.473,-0.1,163.84799999999998
0.0,103.022,-0.19,0.0
0.0,0.221,-0.271,419.429
0.0,167.71800000000002,-0.344,0.718
0.0,5.4350000000000005,-0.41,1178.601
0.0,15.888,-0.1,97.922
0.07,19.078,-0.344,240.523
0.003,0.0,-0.41,799.706
0.0,53.305,-0.41,633.85
34.428,0.0,-0.41,531.5450000000001
0.001,2.145,-0.19,0.0
0.0,-0.1,-0.344,168.94299999999998
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,86.114,0.0,2.258
0.002,431.577,0.668,0.0
11.207999999999998,980.1310000000002,0.634,28.969
0.0,1411.748,0.011,35.219
0.0,1767.8830000000005,67.482,92.906
0.0,158.801,173.454,2044.6240000000005
0.0,0.0,0.0,1353.0160000000003
127.591,0.0,6.77,1193.2990000000002
96.154,0.0,0.826,2157.428
1084.534,185.463,1.033,80.87
64.999,1459.2130000000002,0.0,0.0
103.206,68.553,205.937,3275.6609999999982
0.0,0.0,4.762,748.266
26.649,1207.207,1.53,180.183
0.0,287.571,31.9,2901.739
346.72400000000005,0.718,109.701,3453.351
1604.7359999999996,162.499,19.177,0.0
18.77,68.047,0.0,1021.106
22.016,-0.41,6.297,1102.033
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,41.049,0.0,0.0
0.0,256.94100000000003,0.0,37.441
0.0,0.0,3.663,862.0429999999998
0.191,0.0,0.0,841.4609999999999
36.213,1304.0700000000002,115.369,93.199
272.213,161.659,0.0,2284.4990000000003
0.0,2239.062,0.678,79.46
0.0,263.937,193.934,2745.058999999999
245.732,26.039,271.02700000000004,2951.256999999999
0.0,926.116,0.0,0.0
0.0,2843.387,0.0,0.0
0.0,35.516000000000005,1051.707,4206.209999999997
0.0,1914.056,50.301,52.589
0.0,87.997,68.429,3460.811999999999
558.98,369.335,180.483,4181.208
561.9200000000001,431.9,694.921,4804.879
0.0,51.602,77.351,3356.246
31.447,196.712,5.222,3043.3430000000003
128.579,-0.271,39.182,2549.1860000000006
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,53.853,0.0,0.0
0.0,0.0,0.0,483.34
1.996,1577.594,0.0,185.951
47.239,118.403,0.356,2013.0920000000003
327.185,1272.3929999999998,170.622,128.016
349.067,0.0,26.115,2541.036999999998
434.18,140.372,556.9209999999999,1077.001
5.509,3123.966,235.066,254.902
277.428,355.591,439.606,3484.3199999999997
0.0,2288.1510000000003,0.004,724.761
245.278,3959.645000000001,252.409,163.86499999999998
860.438,81.033,1225.631,4774.142000000004
0.0,0.0,28.794,1546.1290000000004
4.488,1069.017,0.063,4574.004000000002
3.905,638.164,287.899,5228.927
1026.165,1762.766,1382.7490000000005,5819.711000000001
1641.765,1085.523,435.813,5299.316999999999
4708.315000000002,586.746,293.423,914.129
3815.741,-0.6130000000000001,195.922,123.22299999999998
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,253.346,0.0,0.0
35.822,1339.9269999999997,0.0,0.0
207.25,1914.061,134.96,102.48
372.872,2282.931,123.748,133.768
304.458,2540.585,16.316,145.222
644.465,2824.0090000000027,609.485,1481.5130000000004
101.159,1313.554,374.94000000000005,3137.9099999999994
282.356,592.5070000000001,1061.986,3133.2269999999994
758.157,3873.536000000001,13.936,1724.4
630.678,1616.1,371.467,4304.487999999999
2569.4570000000003,3734.428999999999,471.121,2221.332
989.276,1333.731,1731.846,5313.241000000002
1421.6570000000002,4239.274,0.23,900.393
1067.494,5304.915000000001,158.10399999999998,619.919
1977.58,2262.531,874.336,5903.979000000001
1046.331,1778.852,2902.156,6560.542
5901.993000000003,2003.445,1516.428,853.901
3453.8769999999995,228.377,2213.234,240.955
426.866,-0.469,1199.4,21.974
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,52.526,14.441,0.293
1.338,62.641,184.385,318.29
7.649,9.172,797.2729999999999,123.978
5.85,125.122,1055.508,219.552
62.009,1432.689,0.0,182.157
201.892,2943.280999999999,480.299,452.784
1462.643,3486.646000000001,587.248,1307.262
1001.751,3874.0989999999983,1185.567,1267.878
1454.325,4304.591999999998,1729.211,2414.0909999999994
2514.527,3598.046,2778.912,4782.90800000002
1789.23,5240.042000000002,466.167,1658.0590000000002
1849.821,1674.8089999999995,3095.244,5904.663999999995
4251.052000000001,2075.262,972.306,2239.987
254.289,4790.047,1507.74,1199.361
749.896,2849.7470000000003,1280.72,6560.698999999995
2359.21,1153.1,3510.952,7289.808000000002
3306.694,741.289,673.357,878.769
188.982,10.816,271.879,2797.801
391.556,-0.344,0.0,771.8569999999999
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,0.0,0.0,18.406
0.007,1307.4499999999998,35.531,0.0
0.0,1776.0210000000004,39.163,0.633
59.654,608.476,16.275,2158.403999999999
108.044,197.473,133.524,2058.6720000000005
314.144,0.0,0.139,1919.067
130.112,307.393,828.053,2713.1700000000005
273.229,3866.253,1157.992,392.337
1374.714,3610.295,2982.2940000000003,4773.774
3492.127,3780.406,2420.4,5314.358000000015
2499.689,3863.0300000000007,3028.709999999999,5765.652999999999
3434.083,2205.29,4131.740000000001,6560.911
2702.958,1889.269,1757.919,6923.536999999999
3132.224,6533.678999999999,825.742,812.035
3631.725,7289.888000000004,1485.1699999999998,5448.692
3332.354,2853.612,4071.789,8099.930999999988
728.975,740.5160000000001,49.887,5201.808999999999
255.551,454.727,226.65,4544.246000000001
93.808,-0.271,77.775,2747.4800000000005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41,288.346,0.0,0.145
0.019,0.938,815.7810000000002,0.0
0.0,0.0,0.0,88.313
0.295,2505.613999999999,0.0,278.722
62.442,2819.612999999999,243.058,3.775
0.0,3137.313000000001,163.673,1315.983
465.469,3486.5260000000007,454.237,1559.272
783.683,3519.806,790.712,3874.098
2846.612,5314.36100000002,3982.513,3349.411
4180.568000000001,5904.851000000031,3883.21,4549.868
3133.047,6560.951000000035,4346.704,4725.404000000001
3729.584,7289.951000000052,5462.175,4924.885
3040.8410000000003,8099.951000000055,4470.713,6011.2880000000005
2947.101,8999.951000000052,5576.878000000002,6290.5830000000005
9999.951000000015,9999.951000000035,9999.951000000028,9999.95100000002
8999.946000000002,3427.23,1371.848,6169.916
2191.86,0.253,1160.172,6505.9400000000005
1187.264,1045.023,1129.266,5751.392000000001
516.1,-0.344,562.5450000000001,4531.801
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
