left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,0.702,-0.1,0.0
0.0,43.422,-0.271,0.0
0.0,589.905,-0.344,0.0
0.0,4.909,-0.271,1545.3990000000003
3.644,13.189,-0.19,444.334
2.002,0.0,-0.41,256.725
0.0,60.07599999999999,-0.1,0.0
0.0,0.0,-0.271,326.93
0.0,0.001,-0.344,441.915
29.558,0.001,-0.1,228.614
0.0,0.013,-0.41,22.035
0.0,55.645,-0.271,0.0
0.0,1.788,-0.6130000000000001,310.338
12.868,0.0,-0.344,394.671
10.904,0.0,-0.522,108.665
0.0,0.0,-0.41,22.715
0.001,0.0,-0.344,11.782
0.0,0.0,-0.6130000000000001,0.518
0.0,-0.344,-0.41,0.901
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,312.673,0.001,0.001
0.0,0.01,0.368,1597.6800000000003
0.001,0.0,61.324,0.0
3.688,2633.5070000000005,0.0,0.135
185.494,68.979,47.212,3521.783
0.015,0.0,44.047,1982.244
0.181,0.0,0.019,344.362
1.172,941.083,0.0,70.115
0.0,147.368,12.3,1805.099
0.0,0.014,20.575,1051.1560000000002
103.353,15.022,0.056,104.086
0.059,0.012,0.0,339.902
5.702,95.825,29.076,844.4190000000001
0.001,59.588,13.923,1107.953
0.0,0.0,3.328,726.2550000000001
74.063,0.0,0.0,360.03099999999995
98.921,0.514,1.061,0.0
12.112000000000002,2.432,0.0,0.422
0.253,-0.6520000000000001,0.0,35.492000000000004
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,505.388,0.0,0.0
0.0,3309.196,0.0,357.303
29.349,198.745,0.005,4687.533999999999
343.82,1948.218,109.257,141.49
160.111,605.72,338.433,4225.993000000001
379.187,32.644,290.66,3487.306
1235.365,51.906,8.025,197.102
87.357,187.827,10.405,1098.212
48.864,30.987,0.0,2596.334000000001
115.133,0.0,76.07,1933.396
6.83,214.892,1.225,459.201
14.393,1033.001,0.0,4.25
0.147,1449.349,197.023,71.507
323.474,323.249,91.27,1664.3490000000008
1400.0220000000002,183.401,39.808,82.968
808.4660000000001,56.086,11.972,61.206
0.0,0.0,1.563,261.49300000000005
0.0,3.688,0.014,23.437
0.0,-0.522,0.006,143.039
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,887.7539999999999,0.0,0.0
0.0,948.413,0.0,3367.003
97.442,155.632,142.401,5737.952
366.002,1747.637,85.754,313.086
304.81600000000003,1043.1,160.264,4770.296000000002
1069.819,169.143,480.659,4217.879000000002
631.202,8.099,66.662,2325.813
53.489,308.961,115.018,2427.216
482.422,0.0,122.888,3114.423
2644.346,188.336,167.1,280.083
1325.04,19.017,78.357,11.066
0.23,425.566,22.014,0.016
11.385,316.444,0.0,1434.725
359.064,167.21499999999995,332.718,1852.303999999999
116.707,5.547000000000001,279.74,888.287
13.765,23.07,0.0,476.11
2.083,0.0,0.0,1006.308
265.523,27.429,0.8069999999999999,5.032
2.42,-0.469,0.28,374.5220000000001
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.1,1982.702,85.947,0.0
249.135,712.7379999999999,161.152,5589.563999999999
1233.3359999999998,544.398,742.502,6535.438
1073.866,504.732,81.61,3951.331
1261.8149999999998,1465.86,1082.747,5312.929000000004
2217.603,781.38,323.134,4773.599
1130.369,327.17400000000004,205.658,4017.8270000000007
342.079,795.059,198.783,3639.573
688.77,29.943,222.576,3481.5699999999997
163.028,48.225,487.766,1705.7999999999995
0.0,0.232,165.837,771.76
43.384,576.415,8.38,2.578
14.851,336.02599999999995,175.303,2156.8890000000006
439.775,291.178,786.3620000000001,2058.7560000000008
185.232,135.993,154.924,1602.013
81.191,1125.97,2.924,44.839
17.82,179.89600000000002,0.02,1479.4400000000005
375.893,7.182,13.743,1127.3000000000004
716.342,-0.7710000000000002,1.347,63.659
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,2821.8460000000005,176.56900000000002,63.637
881.5070000000001,6524.390999999996,717.587,1104.737
1472.817,2623.282,1667.165,7289.804000000001
2871.188,5255.099000000001,684.01,170.945
2566.07,2710.755,2835.057,5904.835
2763.609,2234.861,1542.398,5313.8939999999975
3150.0530000000003,1157.343,1460.019,4782.820000000007
4304.311999999999,1576.082,1316.1250000000002,2308.03
3873.164000000001,1061.207,293.365,1624.9530000000002
1385.0,236.111,140.068,3175.4049999999997
0.0,223.612,107.239,2137.214
231.786,1600.498,39.111,111.028
331.245,726.8330000000001,479.943,2532.429000000001
1336.952,742.108,1085.9450000000002,2287.6310000000053
2058.7929999999988,555.914,681.493,521.0070000000001
1852.4290000000008,538.778,240.74,292.255
1665.0429999999997,482.134,0.138,793.617
1446.515,111.872,188.051,186.678
424.301,-0.7710000000000002,102.012,30.734
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,1681.675,559.793,13.924
0.0,7177.56,1706.734,212.128
1253.049,2341.278,3066.057,8099.943000000004
1384.997,590.386,413.493,7179.366000000001
5747.290999999998,2415.5870000000004,4653.281000000001,6560.951000000018
5904.851000000006,2330.793,3328.802,4778.598
5314.337000000001,1558.887,2155.664,2608.437
4523.535000000001,905.863,1159.759,2311.2180000000003
1573.606,1673.9810000000002,3229.6780000000003,1915.558
675.034,1258.7209999999998,728.025,3870.386
3229.336,1018.686,330.025,1341.296
289.714,2353.734,187.446,94.278
491.10800000000006,794.09,818.9380000000001,2823.775000000001
684.015,231.318,1334.2890000000002,2541.8190000000004
1698.61,550.649,345.357,413.032
235.155,151.998,688.7879999999999,1663.019
160.553,0.0,156.648,1730.0789999999995
957.471,0.0,178.872,34.462999999999994
250.955,-0.522,0.0,1.4540000000000002
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,1539.415,0.0,25.704
28.893,1512.473,5503.819,0.086
1459.1409999999998,1891.041,3393.386,8999.951000000012
8099.672000000004,3400.69,1524.665,5366.025
6175.607000000001,5137.990999999999,4776.397999999999,7289.951000000015
5357.65,3070.4680000000003,4921.862,6560.166999999997
5839.913000000001,2811.3460000000005,2444.615,2362.433
2746.523,2368.8550000000005,2224.329,5170.342000000001
2296.795,2109.004,2002.392,4613.422
1631.3829999999998,935.92,2288.302,4304.555999999993
3759.56,1499.8339999999998,882.9250000000001,1046.427
1586.205,580.0260000000001,1028.3000000000002,3217.8620000000005
1093.078,1358.064,1367.091,3138.022000000001
2360.648,1239.536,1608.2869999999998,2824.248000000004
2343.173000000001,1442.242,340.20500000000004,681.237
613.325,688.4,688.3929999999999,2262.0270000000005
148.225,181.145,144.278,2049.052
944.615,13.206,81.761,511.029
74.938,-0.344,14.122,313.187
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
